primary_unit_encoded,skill_encoded,jaccard_followers,jaccard_followees,num_followers_s,num_followees_s,num_followers_d,num_followees_d,inter_followers,inter_followees,adar_index,follows_back,same_comp,shortest_path,page_rank_s,page_rank_d,katz_s,katz_d,hubs_s,hubs_d,authorities_s,authorities_d,indicator_link
144,61,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011239777940685066,0.10671436394391955,0.10724793576363913,1.3327216114960897e-07,0.0,0.0,7.3803727863405435e-09,1.0
144,31,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011239777940685066,0.10671436394391955,0.10724793576363913,1.3327216114960897e-07,0.0,0.0,7.3803727863405435e-09,1.0
144,110,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011239777940685066,0.10671436394391955,0.10724793576363913,1.3327216114960897e-07,0.0,0.0,7.3803727863405435e-09,1.0
148,80,0.0,0.0,0,6,1,0,0,0,0,0,0,-1,0.010758488393719873,0.012282571959109652,0.10671436394391955,0.10724793576363913,9.266667733495833e-139,0.0,0.0,1.6250427866776752e-139,1.0
145,20,0.0,0.0,0,13,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011461911577745924,0.10671436394391955,0.10724793576363913,8.799425021205394e-51,0.0,0.0,7.122023497649266e-52,1.0
142,86,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011215713463336807,0.10671436394391955,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0
144,131,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011239777940685066,0.10671436394391955,0.10724793576363913,1.3327216114960897e-07,0.0,0.0,7.3803727863405435e-09,1.0
144,74,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011239777940685066,0.10671436394391955,0.10724793576363913,1.3327216114960897e-07,0.0,0.0,7.3803727863405435e-09,1.0
146,128,0.0,0.0,0,14,2,0,0,0,0,0,0,-1,0.010758488393719873,0.01186889213421814,0.10671436394391955,0.10778150758335875,0.13962037136442576,0.0,0.0,0.05218585585217586,1.0
12,13,1.0,0.0,1,0,1,0,1,0,0,0,1,-1,0.011215713463336807,0.011215713463336807,0.10724793576363913,0.10724793576363913,0.0,0.0,0.04489964630707578,0.04489964630707578,0.0
66,26,0.0,0.0,0,0,1,0,0,0,0,0,0,-1,0.011494252873563216,0.011461911577745924,0.10721113770710687,0.10724793576363913,0.0,0.0,0.0,7.122023497649266e-52,0.0
45,22,0.0,0.0,0,0,1,0,0,0,0,0,0,-1,0.011494252873563216,0.011461911577745924,0.10721113770710687,0.10724793576363913,0.0,0.0,0.0,7.122023497649266e-52,0.0
52,87,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0.011494252873563216,0.011494252873563216,0.10721113770710687,0.10721113770710687,0.0,0.0,0.0,0.0,0.0
25,80,0.0,0.0,0,0,1,0,0,0,0,0,0,-1,0.011494252873563216,0.012282571959109652,0.10721113770710687,0.10724793576363913,0.0,0.0,0.0,1.6250427866776752e-139,0.0
62,46,1.0,0.0,1,0,1,0,1,0,0,0,1,-1,0.011461911577745924,0.011461911577745924,0.10724793576363913,0.10724793576363913,0.0,0.0,7.122023497649266e-52,7.122023497649266e-52,0.0
